id,love,joy,surprise,anger,sadness,fear,comment
581894_1,,,,,,,"[~bmahler], it looks like this can be closed since the Python UI is gone."
581894_2,,,,,,,Is that true?
1954699_1,,,,,,,seems this is a CDK issue
2389859_1,,,,,,,"Mladen, any progress please?"
2389859_2,,,,,,,I am transfering my issues so I want to know the current status.
2099735_1,,,,,,,Thanks for reporting.
2099735_2,,,,,,,Fixed on the master (0d43528e) and the 1.6 (9affb57a).
1007616_2,,,,,,,or someother version?
1014746_1,,,,,,,"ThriftServer.java and Hbase.thrift patched manually, the other files generated using thrift-0.2.0"
1526597_1,,,,,,,I drafted a small benchmark (so far only for android) to demonstrate the issue.
1202770_1,,x,,,,,"> - FOUserAgent.getStream() is cool and very easy to use (now that it's properly
> documented)."
2042158_1,,,,,,,Does it solve your issue ?
1394527_1,,,,,,,"I'll see if I can arrange for the manifest to contain bundle-manifestVersion.
"
2464241_1,,,,,,,Pushing non-critical issues to the next CR2.
391418_1,,x,,,,,"i kinda like the black acctually .. but that may largely be due to my prefering the ""fire"" solr logo over the futuristic magnifying glass (the red/orange contrasts nicely with the black/grey.

to my mind, the ""Solr"" ""Sun"" connection has allways been really cool ... "
2464241_2,,,,,,,"If you think they are critical for CR1, please re-schedule them."
1045715_1,,,,,,,Issue is reproducible at least on Debian 32bit and SLES 10 64bit.
1016156_1,,x,,,,,Awesome discussion.
2355183_1,,,,,,,"So, I also can say ""this is not yield keyword specific problem""."
2355183_2,,,,,,,Thank you for reviewing.
1910259_1,,,,,,,fixed in revision 478248
1878268_1,,,,,,,pushed
2016201_1,,,,,,,Supported by external project
696242_1,,,,,,,"And in that case, the first argument could also be changed from OpenBitSetDISI to OpenBitSet."
423201_1,,,,,,,"Until there will be _real_ need of adding new Monoid implementations, I would suggest to postpone the problem and keep *your* version of the patch."
423201_2,,,,,,,"Let's fight with the right weapons when we need, I wouldn't use a katana to kill a fly (unless I am Bruce Willis and I'm in Pulp Fiction :P)

best and thanks!"
1920135_1,,,,,,,No issue found after noting how it's invoked.
501431_1,,,,,,,And interestingly suddenly this is moved from MAPREDUCE to OOZIE.
1080884_1,,,,,,,Running patch through hudson.
829006_1,,x,,,,,"Got it, thanks for the explanation."
432408_1,,,,,,,A new issue (https://issues.apache.org/jira/browse/RAMPARTC-140) is created for implementing SupportingToken assertion.
962692_1,,,,,,,v1 fixes the nit
470394_1,,,,,,,Patch committed.
470394_2,,,,,,,Thanks Ankit!
1358709_1,,,,,,,"Thanks for the patch, Kim."
1358709_2,,,,,,,I will look at those remaining references to NATIVE::LOCAL in the error messages.
1358709_3,,x,,,,,The patch looks good.
1358709_4,,,,,,,"I tripped across one puzzling sentence, but it wasn't something that you changed: In the second, longer paragraph of the BUILTIN bullet, we recommend LDAP and user-supplied schemes as alternatives to BUILTIN, but we don't recommend NATIVE."
1358709_5,,,,,,,Did we decide to not recommend NATIVE here or should this be adjusted to include it beside the other safe schemes?
1358709_6,,,,,,,Thanks.
2415951_1,,,,,,,It could be that this has been resolved already (elsewhere).
1589002_1,,,,,,,See attached patch.
1589002_2,,,,,,,I'll add docs in Confluence if the example is integrated in Camel's codebase.
1347060_1,,,,,,,Closing all issues created in 2005 and before which are marked resolved
1353385_1,,,,,,,APIs doc is outdated - thanks
1326896_1,,,,,,,"I have committed a fix for this, please close if you are satisfied."
1326896_2,,,,,,,Thanks.
1034440_1,,x,,,,,Cool cool - thanks stack!
1125251_1,,x,,,,,Awesome! This tool is cool.
924046_2,,,,,,,What % of clients do think were stuck like this?
954497_2,,,,,,,Mind adding your test run results in here?
954497_3,,,,,,,QA test result is recorded above.
2483856_1,,,,,,,"Closing, works like charm now."
2483856_2,,x,,,,,Thanks guys for saving mankind!
2332982_1,,x,,,,,This looks safe also
368838_1,,,,,,,Stefan: are you sure you had a clean build with my patch applied?
2095235_1,,,,,,,Please follow up on the forum: http://www.jboss.com/index.html?module=bb&op=viewtopic&p=4178893#4178893
2006746_1,,,,,,,suggested for 3.1.1
876443_1,,,,,,,Might want to correct the misspelling: *remvoed* AllFromInodesFromMap :)
411954_1,,,,,,,Thank you very much Les.
411954_2,,x,,,,,I've just tested the shiro trunk with karaf-2.2 release and everything works fine :)
2114393_1,,x,,,,,Pretty sure this was fixed by the time we released JRuby 1.6.
310717_1,,,,,,,This patch looks pretty good.
310717_2,,,,,,,"I think we should apply it.


"
2369355_1,,,,,,,Moved to GA.
2449525_1,,,,,,,"This appears to be a issue with Hibernate (the default JPA implementation in JBoss AS) rather than a EJB3 issue.
"
614426_2,,,,,,,Fixed the MAPREDUCE-3028 commit which broke MR1.
614426_3,,,,,,,Contributed by Hitesh Shah.
1836807_1,,x,,,,,"Interesting, I just replaced my src with the latest in the trunk and did a compleatly clean build and the problem seems to have gone away."
1836807_2,,,,,,,I'll close the ticket as it looks like a non-issue.
861953_2,,,,,,,"* it is impossible to name a column 1
* it is impossible to name a column alias 1

If order by supports this I do not see group by can't?"
861953_3,,,,,,,"Do we want to reconsider this?I kinda like the feature.
"
2047189_1,,,,,,,no POM provided here
364849_1,,x,,,,,This is Awesome Stefan - thanks a million!
242158_1,,x,,,,,This is awesome - works in a one-liner. 
411660_2,,,,,,,I resolved the issue via Spring.
1338828_1,,,,,,,This is a screenshot from 1.5.3 and that is how I would expect the Directory Studio to behave.
1675900_1,,,,,,,"Harsh, will you have a chance to work on a test for this?"
1675900_2,,,,,,,Please tell me if you'd like me to help.
2220965_1,,,,,,,"Misty,  Can you move JBPAPP-7480 to bz and then cross reference the bz number in this Jira and close this one?"
2220965_2,,,,,,,"Thanks,

Mike"
1546239_1,,,,,,,"v3 rewritten to be lots more explicit and save the vendor, arch, and version numbers for later code to use."
1577629_2,,,,,,,"patch by johano; reviewed by jbellis for 
"
666093_1,,x,,,,,Awesome!
666093_2,,,,,,,We just need a possible mentor here... volunteers...?
2309521_1,,,,,,,EAR project case is fixed.
2309521_2,,,,,,,"Alexey, please verify."
2118679_1,,,,,,,Resolving this issue as it is covered by JBQA-5191 and JBQA-5192.
2064934_1,,,,,,,"btw, MCLEAN-18-maven-clean-plugin.patch also applied the maven-clean-plugin-dcabasson-MCLEAN17.txt fix."
2431973_1,,,,,,,"> DistributedHashTable is a good solution but then how are we planning 
> to acheive let say a Distributed LRU Cache or Distributed Time-limited 
> or a Distributed Count-Limited Cache."
2431973_2,,,,,,,"I am not mandating to use DistributedHashtable directly by plugging it into
Castor as it is, but as the base for 'distributable' TimeLimited, CountLimited
et alias cache implementations."
1862171_1,,x,,,,,"Nice, I did not think about using the system tables."
1862171_2,,,,,,,I will re-work and submit another patch.
1546890_1,,,,,,,Will upgrade to 1.0.10 and check it.
1546890_2,,,,,,,Will re-enable assertions too.
584745_1,,,,,,,{{TrivariateRealFunction}} renamed in r1236932.
2114722_1,,,,,,,"yeah, I think so."
2114722_2,,,,,,,we just used it with CBR (content based routing).
2114722_3,,,,,,,Now the JBossESB changed to SwitchYard and we need to ensure it works.
1458817_1,,x,,,,,"You're results are awesome Paul. Great work :)
Looking forward to see your new JSON parser in trunk whenever you think is ready."
2277576_1,,,,,,,We are restructuring the trunk now from jboss as 4.2 and it's unstable.
2277576_2,,,,,,,You should check out and build revision 693 of the trunk.
1876165_1,,,,,,,pushed
1925418_1,,,,,,,It is not in the requirement.
1925418_2,,,,,,,I move it into 2.1-M1.
1116180_1,,,,,,,Attaching patch for review.
646632_1,,x,,,,,"Awesome, you rock, Drew!"
646632_2,,x,,,,,Very cool.
1870702_1,,,,,,,"Resolved by changing the meaning of maxRows to be across all code tables with a default of 200000, introduced maxRowPerTable with a default of 10000 to take the place of maxRows, and upped the default for maxCount to 200."
2134769_1,,,,,,,I switched to using the JavaSourceLoader and this appears to work fine.
