id,love,joy,surprise,anger,sadness,fear,comment
909163,,x,,,,,+1  Looks good to me!
836245,x,,,,,,"Committed to trunk. Thanks, Francis!"
1074809,x,,,,,,"Hi Oliver, 

Thanks for catching this problem and for your suggested fix. We can go one step in simplifying the fix by removing the need for URI altogether if we use the getResourceAsStream() method of ClassLoader rather than getResource(). Modified version of your fix committed in revision 405036. Please could you check that this version of your fix works in your environment. 

Best regards, 
George

 "
1506965,,,,,,,Released in ClickIDE 2.2.0.0.
876691,x,,,,,,"I've just committed this to trunk and branch-2. Thanks a lot for the reviews/testing, Chris and Todd."
1538149,,,,,,,"bq. One possibility is that getToken of OPP can return hex value if it fails to encode bytes to UTF-8 instead of throwing error.

I can't think of how it would break anything to accept keys we previously rejected."
1540816,x,,,,,,"Committed, thanks!"
732872,,,,,,,"bundles have been promoted to OSSRH some minutes ago. It will take roughly 2-4 hours before they appear on Central, so this one is close to be fixed."
861182,x,,,,,,Committed. Thanks Namit!
588690,,,,,,,3.1.0-incubating released!
1082973,x,,,,,,Thanks for the work Haohui! I've committed it to branch-1.
857469,x,,,,,,Committed. Thanks Namit!
1551708,,,,,,,I think I'd rather have a CL option so it can still raise an error if you think (say) just one node is down but a second goes offline briefly as you run the loader.  But --skip-dead-nodes would also be reasonable.
933763,,,,,x,,[~sershe] sorry for late reply. I upload the patch to https://reviews.facebook.net/D13341. Could you help to review it ? thx.
811759,,,,,,,"Created an attachment (id=6644)
SSL Guide (take 1)
"
631562,x,,,,,,"+1

I committed this. Thanks, Jothi!"
409724,,,,,,,Closing as a duplicate of SLING-394
1192084,,,,,,,Committed revision 585929.
1540960,x,,,,,,"Committed, thanks"
1719465,,x,,,,,+1 looks good - all tests pass.
720185,,,,,,,"FWIW, I didn't experience the problem with Karaf commands when using Fuse ESB (based on Karaf 2.2.5), but I did have problems with Aries Blueprint when I tried to instantiate some of our own beans as an OSGi service.

Workaround for me was to remove the Aries Proxy 0.3 bundle shipped with Fuse ESB and install Aries Proxy 0.3.1. After I did that and restarted the container, the problem was resolved for me."
1327574,,,,,,,I committed a patch to trunk to make access to bundle state volatile. Please close this issue if you are satisfied.
767657,,,,,x,,"Sorry Carl, this won't make it in the 2.2.0 release which is about to be released very shortly now...
Maybe it could get into the 2.2.1 release if you are able to send us a patch or a reproducible testcase.

thanks,
Maarten"
838493,,,,,x,,"Hi,

Can we bump this please? I just came up against this issue, wrote the patch, was about to submit it, only to find it already here...

Cheers."
1559752,,x,,,,,"{quote}
Totally didn't know we support IN for DELETE. 

Would prefer to fix by offering IN for for the other statements as well. The Antlr doesn't look too daunting w/ DELETE as an example (knock on wood). Can take a stab at that tomorrow.
{quote}

This is {{multiget_slice()}} / {{multiget_count()}} and was intentionally omitted (remember?).  Not saying this is decision that can't be revisited, just reminding.

Oh, and if we do move forward, it's post-0.8, we're in a feature-freeze. :)"
1095423,,,,,,,"Attach a screenshot of Local Security Policy console (secpol.msc), where users can add symbolic links privilege to their accounts."
