id,love,joy,surprise,anger,sadness,fear,comment
1740498_1,,,,,,,Patch applied in SVN revision 743258
1062792_1,x,,,,,,Thanks Tony.
1062792_2,,,,,,,Patch applied to LUNI module at repo revision r494822.
1062792_3,,,,,,,"Please check that the patch was applied as you expected.
"
403319_1,x,,,,,,Thanks for providing the patch.
403319_2,,,,,,,I have applied it in Rev.
398755_1,,,,,,,Patch applied.
398755_2,x,,,,,,Thank you!
678190_1,,,,,,,"+1, if the test is problematic, we can always either comment out the new test, or @Ignore it, and add a note.
"
1415402_1,,,,,,,The changes look good.
1415402_2,,,,,,,+1 for commit.
1415402_3,x,,,,,,Thanks Laura.
1010332_1,,,,,,,"I think allUserRegionsOffline should be declared inside
{code}
} else if (this.stopping) {
{code}
block."
1010332_2,,,,,,,Have you run test suite ?
1345322_1,,,,,,,"The piece of cake was bigger than my mouth...
Postponed."
1421340_1,x,,,,,,Thanks Kathey.
1421340_2,,,,,,,"Please look at this patch (d962_javadoc.2.diff.txt) 

I ran javadoc and  did clobber and ant all ok."
1421340_3,,,,,,,Thanks.
1586698_1,,,,,,,Applied patch with thanks to Dan :)
465233_1,,,,,,,Changed the patch as per Thejas's suggestion.
655768_1,x,,,,,,"Thanks Adrien for looking into this, nice explanation!"
694697_1,x,,,,,,"Super, I'll commit shortly -- thanks Yonik!"
175933_1,,,,,,,"Thanks, patch applied"
628221_1,,,,,,,"Added comment before ""Path getPath()"" to address Todd's comment.
"
984786_1,x,,,,,,"Thanks a lot, Jon for signing up this."
984786_2,,,,,,,Actually I thought to take a look on this weekend.
984786_3,,,,,,,Unfortunately I may not be able to look on this weekend as came out of station.
984786_4,,,,,,,Thanks for taking this:-)
420232_1,,,,,,,Committed to master.
420232_2,x,,,,,,"Thanks, Sravya!"
1427411_1,,,,,,,"Hi Myrna,

Are you recommending that we commit this patch but that additional work be put into analyzing LocalizedDisplay.sql and LocalizedConnectionAttribute.sql?"
1588384_1,x,,,,,,I like Richards update as well :) What I did was out of pure anger so it may not have been the sexiest.
795692_1,,,,,,,"Jason,

I checked...you have karma as you are in the ""jira-administrators"" group."
795692_2,,,,,,,Please go ahead and create it.
795692_3,,,,,,,"thanks,
dims"
1473666_1,,,,,,,"Patch applied, thanks."
255784_1,,,,,,,Vote is here: http://markmail.org/thread/yg6n646zurlpdmvy
787360_1,,,,,,,"Thanks, is that everyone has to create an account and then you will link them to Pig Confluence?"
596711_1,,,,,,,I just committed this.
596711_2,x,,,,,,Thanks [~cnauroth] & [~tomwhite] for the reviews!
201280_1,,,,,,,The patch looks fine.
617082_2,,,,,,,I'll commit once hudson +1s it.
617082_3,x,,,,,,Thanks for being patient Devaraj!
521186_1,x,,,,,,"Hi Bruno,

I like it, seems to work well at 1st glance

Thanks!"
1147485_1,,,,,,,I just committed this.
1147485_2,x,,,,,,"Thanks, Adrian!"
1511059_1,,,,,,,"that what WebRenederendingServices are for, not sure WebDescriptionProvider could be declared to be a WebRenderingService."
613565_1,,,,,,,OK You are correct about that.
613565_2,,,,,,,I ran it from the base and it looks good.
613565_3,,,,,,,Thanks +1
526681_1,,,,,,,"Adrian,
I cannot find the listVisualThemes.ftl file in your last patch."
526681_2,,,,,,,From your comments I guess you changed it.
518772_1,x,,,,,,Thanks Bob your patch is in trunk at r932317
685560_1,x,,,,,,thanks again Uwe
1071093_1,,,,,,,"Hi,

Would you please try my patch?"
1071093_2,,,,,,,The patch also fixes a typo in StreamHandlerTest.java.
1071093_3,,,,,,,Thanks!
1071093_4,x,,,,,,"Best regards,
Andrew"
327262_1,,,,,,,Better to have the samples run on the fly :-) .
1067588_1,x,,,,,,"Thanks, Alexei!"
1067588_2,,,,,,,Now it works as expected.
1127986_1,,,,,,,"Looks fine, Sreekanth. "
1071335_1,,,,,,,"Leo, patch applied at revision r438040, thanks a lot for this enhancement, please verify that the problem is fully fixed as you expected.
"
1389763_1,x,,,,,,"Thanks, Myrna."
1593242_1,,,,,,,Applied patch with thanks to Christian.
1416764_1,,,,,,,Patch d1544-patch2-v2.diff committed revision 429036 - Thanks Deepa
241680_1,,,,,,,Committed.
241680_2,x,,,,,,Thanks Tom!
1227945_2,,,,,,,So returning an empty string in such case.
463349_1,,,,,,,This irritates me on a weekly basis.
463349_2,,,,,,,I'm often running ad-hoc analysis in grunt with snippets taken from some heavier scripts I've written and I get bitten ALL the time.
246272_1,,,,,,,"Hi Mario Ivankovits 
  Pls give some suggestion on above comment"
733753_1,,,,,,,"HI Harry,

I am new to JSPWIKI and based on the error I chose the Security issue."
733753_2,,,,,,,"You
can choose to ignore or modify it."
733753_3,,,,,,,I am still not able to run JSPWiki in Oracle Jdeveloper 10.1.3.3.0.
733753_4,x,,,,,,"Thank you,
+ Harit Himanshu


"
1213236_1,,,,,,,"Hi Subramanyam,

Any updates on this issue yet?"
1213236_2,x,,,,,,"Thanks,
Arvind"
748059_1,x,,,,,,"Committed a slightly cleaned up version of the patch in revision: 1464605

Thanks for your help Todd."
399100_1,,,,,,,"Fixed in http://svn.eu.apache.org/viewvc?view=rev&revision=707319
Many thanks to Ulhas for providing the patch!"
1532237_1,,,,,,,"Hi Andrus

I cleaned up for one of our projects successfully the comments and could import it into CayenneModeler - great!"
729735_1,,,,,,,Attach patch v2.
729735_2,,,,,,,Consolidate all error handling in KafkaServerStarble.
201106_1,,,,,,,The patch looks fine .
201106_2,,,,,,,I was sure It's in CVS already.
