id,love,joy,surprise,anger,sadness,fear,comment
1001112_1,,,,x,,,guys... this is so stupid...
1001112_2,,,,x,,,"I lost the whole morning cause HBase's RegionServer was dying with no logs, no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?"
1014872_16,,,,x,,,{quote}You are messing down deep below hbase in dfs.
1017556_1,,,,x,,,"And I think if we're going to do a sweep up of shit, we should just kill root."
1024843_1,,,,x,,,"@idiot Yeah, I was on that idiot-path for a good while but commons-lang is a hairball, at least where this hashcode making and equals is concerned."
1027161_2,,,,x,,,Pull it back in if you think different.
1029542_1,,,,x,,,i suck.
1031984_8,,,,x,,,Will still be stuck in the loop though if can't actually close regions.
1037141_1,,,,x,,,Original edited patch was messed up... stupid sed!
1078380_2,,,,x,,,Who made this stupid rule?
1078380_4,,,,x,x,,Sorry but this is just stupid.
1078538_5,,,,x,,,"But I will quit committing to Hama then, because I'm not going to support ONLY a binary format."
1078538_6,,,,x,,,This is not what I build a framework for.
1099350_1,,,,x,,,"Well, damn."
1099350_2,,,,x,x,,Blooper after blooper - I hate SVN.
1182528_1,,,,x,,,"This looks reasonable to me... sucks we have to special case handling of "" ""..."
1189898_14,,,,x,,,You may want to carefully examine your assumption about this.
1217410_1,,,,x,,,"Ok, wow, welcome to Linux hell..."
130806_2,,,,x,,,If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell.
1324648_2,,,,x,,,Both equally bad.
132669_1,,,,x,,,"Negative, I am against fetch groups in principle."
132669_2,,,,x,,,This way lies metadata hell.
1340869_1,,,,x,,,"Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes""."
1342186_1,,,,x,,,Damn...
1342658_1,,,,x,,,Damn...
1345883_1,,,,x,,,Damn !
1345883_2,,,,x,,,The evil NPE strik back !!
1346179_1,,,,x,,,Bloody hell !!!
1348495_1,,,,x,,,Damn time has flown...
1352960_2,,,,x,,,Damn it !
137361_2,,,,x,,,"This was a very bad bug, introduced by me being an idiot."
1394769_2,,,,,,,"I did try some variations as well, and I have to say I only got confused."
1398734_5,,,,x,,,"I have stupidly deleted the original test dir, but judging from the suite's output files, no output was created after 3 1/2 hours."
1429235_1,,,,x,,,damn this was assigned to you since months.
1429746_4,,,,x,,,Imo all this just doesn't make sense from a pure performance aspect.
1455895_1,,,,,,,Confused about this.
1462480_1,,,,x,,,Inserting timestamps automagically would be bad because it would limit a whole swath of use cases.
1471209_2,,,,x,,,If they do then Suse's cpio works for old ascii but the -c switch is broken.
150393_2,,,,x,x,,This is pretty embarassing!
1524565_2,,,,x,,,When you install a node module globally it goes into /usr/local where you don't have permissions to move shit into unless you sudo.
1537069_6,,,,x,,,"That being said, I'm not totally opposed to making the limit configurable."
1547189_1,,,,x,,,"My bad, I screwed up the assertion -> RuntimeException transition."
1550511_1,,,,x,,,"Well, that sucks."
1553094_6,,,,x,,,"No, it's not off the table, but it's moot unless we decide we want cqlsh in-tree at all."
155457_1,,,,x,,,Ok here is a patch that works. I was stupid enough not to see it...
156058_1,,,,x,,,It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.
1564457_4,,,,x,,,All I'm trying to say is that it's pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen.
1569844_1,,,,x,,,"Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... 

Did you just tell me to go fuck myself?"
1573478_1,,,,x,,,"+1 (damn intellij, it's not like patch format hasn't been standard for years)"
1575813_1,,,,x,,,"Wow, it's like Thrift is going out of their way to make life suck for us this month."
1629017_7,,,,x,,,Here is quite bad.
1647287_1,,,,x,,,"
The samples you gave are different."
1676234_1,,,,x,,,"I just noticed your public tweet...

bq. ""@wilhelmbierbaum True. Fuck the Avro C API.""
"
1686065_2,,,,x,,,"if so, can you see if you can git bisect this bad boy?"
1687818_1,,,,x,,,"It seems some of the wrappers in ink_hrtime.h() might no longer be used either, e.g. ink_gettimeofday() is never used, so lets get rid of that shit."
1690651_1,,,,x,,,"Heh, that's one hell of a bug, 275 bytes exactly, eh?"
1769700_1,,,,x,,,What a stupid name I chose for that object... )-:
1778787_2,,,,x,,,I think it's time to just close this issue.
1778787_4,,,,x,,,"I'm not entering bogus reports for the hell of it ;)

Matt"
1805685_2,,,,x,,,I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!
1808616_1,,,,x,,,Stupid Maven
1816305_1,,,,x,,,Ok. Stupid user Error here.
1816305_2,,,,,,,Converted from a single FlatFileItemWriter to a database and flatfileitemwriter and didn't register the flatfile one as a stream.
1816305_3,,,,,,,If using a single FlatFileItemWriter it is enough to register it as an ItemWriter however when using the composite the adding it as a stream is also needed.
1832159_1,,,,x,,,"Why the hell do they deliver Duration, if they cannot instantiate it :-/"
1858018_1,,,,x,,,"The defect  from hell 666, be scared.."
193462_1,,,,x,,,This really sucks!
1990074_1,,,,x,,,Why the hell is this not a bug?
1990074_4,,,,,,,I'm confused...
2014921_2,,,,x,,,What the hell are you waiting for ?
2024396_1,,,,,,,you can't reopen stuff fixed in the past without upsetting JIRA.
2059085_3,,,,,,,"I've fixed that locally and am doing a full build, but I'm going to build a test case to duplicate the error and then verify my proposed fix corrects it."
2059085_4,,,,x,,,"I suspect it has nothing to do with the file system connector or Infinispan connectors, and is simply a (stupid) mistake in the federated join processor."
2077144_1,,,,x,,,I'm an idiot.
2077144_2,,,,,,,"The Cenqua licensing section doesn't have a license like this, but the Clover licensing section does have a link to one."
2085431_2,,,,x,,,It really sucks that there is now way currently to include transitive dependencies.
2096621_2,,,,x,,,I'm an idiot... there's nothing wrong with the readme.txt.
2120525_1,,,,x,,,"Crap, forgot to verify that this is inconsistant with MRI, it's not."
2120525_2,,,,x,,,Please close as this is just me being stupid.
2124917_1,,,,x,,,"Holy hell, I think I found one problem with turning a bignum into anything else."
2127189_2,,,,x,,,This sucks *so much*...
2132048_1,,,,x,,,"Damn, I would close this out from the fix to JBSEAM-3742, except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that."
2132543_1,,,,x,,,"*Damn*, I forgot."
2148299_4,,,,x,,,"Also, your username was stupidly named and confusing, so I deleted it and created a new one more appropriate."
2153268_1,,,,x,,,"Damn, it seemed it didn't work."
2162609_1,,,,x,,,"It sucks to lose the code readability, but it seems like a reasonable price to pay."
2181040_1,,,,x,,,"I don't have to ensure that the classloader knows groovy classes, *you* must do that."
2181040_11,,,,x,,,"And debugging is hell, because the test environment needs to have the exact same loader setup."
2194394_1,,,,x,,,who the hell starts using our jira for typing lessons ?!?
2259612_1,,,,x,,,fuck u
2263196_1,,,,x,,,"Hell, this is gonna take me a lot of work to raise."
2264018_2,,,,x,,,"That irritated the hell out of me too, but I didn't realise it was configurable in the .launch file."
2268304_1,,,,x,,,This sucks badly.
2268304_2,,,x,x,,,Why on earth does createLink() need a request?
2350557_2,,,,x,,,Finally closing this bug from hell.
238731_3,,,,x,,,I sure as hell don't want to start attaching models for the sake of detaching them directly afterwards.
2470534_1,,,,x,,,"That sucks, why isn't the escape mechanism working?"
2495101_1,,,,x,,,I am an idiot - this was a dupe of GUVNOR-84
286246_5,,,,,,,That is really confusing.
291420_1,,,,x,,,"Sun RI sucks, why the hell is saveState() and restoreState() not called with with javax.faces.STATE_SAVING_METHOD = server???"
305224_1,,,,x,,,"Swear to god, I'm not a total idiot."
306519_2,,,,x,,,"I don't know how the hell my diff program decided to add seemingly random CR chars, but I've removed them now."
313850_1,,,,x,,,"durrrh, that sucks."
320617_4,,,,x,x,,Im stuck with IE6 unfortunately.
334916_1,,,,x,,,"What the hell, I'll give this a shot."
349776_1,,,,x,,,"{quote}
searcher.getAtomicReader().getSortedDocValues(uniqueKey);
{quote}

This is a performance killer."
350972_1,,,,x,,,"As far as the query shit, i have no idea if solrdispatchfilter or whatever could/should do Thread.currentThread().setName(x) or whatever (and maybe restore after)"
353052_1,,,,x,,,"BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow).
"
362807_1,,,,x,,,"Hmm, that sucks."
366961_1,,,,x,,,tricky shit man! I think I found the issue!
367179_1,,,,x,,,"Oh man ... it's a fucking precendence problem.
"
367677_1,,,,x,,,"Ugh, well that sucks."
367902_5,,,,x,,,I didn't know we needed to retain backwards config capability across 3.x to 4.x  :-(  That sucks and it'll make old code stick around longer.
369884_1,,,,x,,,bq. this is solr's fault by having a getter that does some heavy duty xml shit.
369884_2,,,,x,,,That sounds like some serious buck passing.
371904_4,,,,x,,,This whole thing is very distressing to me.
371904_5,,,,x,,,I think we all know it just sucks.
373905_1,,,,x,,,"though I disagree with a signficant amount of statements you made,I don't think we would ever come to agreement anyway."
389297_3,,,,x,,,"
that's some freaky shit ..."
389548_1,,,,,,,i could have sworn i clicked the other radio button
455767_4,,,,x,,,I think you made mistakes in ivy.xml.
496044_12,,,,x,,,This is where it gets confusing.
540214_1,,,,x,,,"If I can give you one advice on this one, I'd say this: fuck Derby, use H2 instead as the default embedded database."
571429_1,,,,x,,,What the hell?!
571429_3,,,,x,,,(Do nothing): Are you serious about that?
579540_1,,,,x,,,"@Oleg, please accept that my ""logical"" is different from your ""logical""."
579540_3,,,,x,,,"So, I'm fine with your logic, but given that I don't understand it please don't get upset when I ask questions on how I have to use it."
652217_2,,,,x,x,,This was my bad.
653331_5,,,,x,,,The rest are *totally* unrelated.
653758_1,,,,x,,,"Oh fuck :-) Sorry. Not my day, more beer needed!"
654180_1,,,,x,,,"Sorry, I guess I'm against ""never computing this shit""... because you guys think returning NaN is ok.
"
654180_4,,,,x,,," if you want to make these optimizations, fix the APIs so its intuitive, otherwise, no way."
654182_1,,,,x,,,"who the fuck is asking for scores, but not the max score, and why does their insanely specialized use case justify all these booleans on a central lucene class.
"
654611_1,,,,x,,,I don't care about code duplication here.
654611_2,,,,x,,," We should not invoke the global synced fieldnumbers shit for every element, only when the setting actually changes"
658580_1,,,,x,,,I disagree... and I guess I'm willing to go to bat for this.
660380_1,,,,x,,,HOLY SHIT!
663657_2,,,,x,,," I think the comments here are a bad sign... I sent us down an unfortunate slippery slope

we are a search engine library!

don't put shit in the index directory! or we will delete your shit. dead simple."
681152_1,,,,x,,,I wholeheartedly agree this API is confusing as hell.
681152_2,,,,x,,,"Not only it's the first one in my life I'm seeing multiple ways of closing the same thing, it also conceals programming errors."
684394_2,,,,x,,,Sucks to rush a commit when an issue is under discussion.
684394_4,,,,x,,,"I'm against such heavy committing myself, without some consensus to do so."
697159_2,,,,x,,,I'm confused.
711427_1,,,,x,,,> I hated that aspect of working for commercial companies.
714376_1,,,,,,,Of course it is.
729706_1,,,,x,,,My bad.
729706_1,,,,x,,,My bad.
781197_1,,,,x,,,"Igor is an idiot, and we *do* need gmake."
798939_1,,,,x,,,"Shit, I missed a cast."
801851_3,,,,x,,,"But, even if it wasn't it would be totally worthless where it is at."
810778_7,,,,x,,,This is clearly bad webserver behaviour.
827981_2,,,,x,,,Forget what I made(D8067).
890057_1,,,,x,,,PreCommit-HDFS-Build is stuck.
911333_5,,,,,,,I am slightly confused by the above.
940145_6,,,,x,,,"So, it is stuck somewhere."
949738_3,,,,x,,,I don't want one-offs like this to become lost and forgotten.
973402_1,,,,x,,,"But now that I think about it, it may crap out when coming back to read even on a recovered file."
987223_1,,,,x,,,"@Matt... I'm an idiot, I used the wrong patch. Sigh."
