joy;love;enthusiasm;gratitude;self-pride;calmness;fearlessness;positive-expectation;positive-hope;positive-fear;affection;liking
appreciated;admirable;avid;appreciatively;;allay;assure;anticipate;bucked_up;;;
banter;admirably;eager;grateful;;assuasive;confident;cliff-hanging;encourage;;;
barrack;admire;eagerly;gratefully;;at_ease;convinced;look_for;encouraged;;;
be_on_cloud_nine;adorably;ebulliently;thankful;;calm;dauntlessly;look_to;encouraging;;;
beaming;adoring;enthusiastic;;;calm_down;doughty;suspenseful;encouragingly;;;
blithely;affect;enthusiastically;;;calming;fearless;suspensive;hope;;;
carefree;affectional;exciting;;;calmly;fearlessly;;hopeful;;;
chaff;affectionate;expansively;;;chill;hardy;;hopefully;;;
cheer;affective;exuberantly;;;cold;intrepidly;;optimistic;;;
cheer_up;amative;great;;;cool;positive;;optimistically;;;
cheerful;amatory;riotously;;;cool_down;reassure;;sanguine;;;
cheerfully;amicable;thirstily;;;dreamy;reassured;;;;;
cheering;amicably;zealous;;;ease;reassuring;;;;;
chirk_up;amorous;;;;easily;reassuringly;;;;;
close;approbative;;;;easy;unafraid;;;;;
comfort;approbatory;;;;lackadaisical;;;;;;
comfortable;approve;;;;languid;;;;;;
comfortably;approved;;;;languorous;;;;;;
comforting;approving;;;;languorously;;;;;;
complacent;becharm;;;;lull;;;;;;
congratulate;beguile;;;;lulling;;;;;;
console;beguiled;;;;pacifically;;;;;;
content;benefic;;;;pacifying;;;;;;
contented;beneficed;;;;peaceable;;;;;;
ebulliently;beneficent;;;;peaceably;;;;;;
elate;beneficially;;;;peace-loving;;;;;;
elated;benevolent;;;;placid;;;;;;
elating;benevolently;;;;placidly;;;;;;
embolden;bewitch;;;;quiet;;;;;;
euphoriant;bewitching;;;;quieten;;;;;;
euphoric;brotherlike;;;;quietening;;;;;;
exalt;brotherly;;;;relieve;;;;;;
exhilarate;captivate;;;;serene;;;;;;
exhilarated;captivated;;;;soothing;;;;;;
exhilarating;captivating;;;;still;;;;;;
exhort;capture;;;;tranquil;;;;;;
expansively;caring;;;;tranquilize;;;;;;
exuberantly;caring;;;;tranquillize;;;;;;
exult;catch;;;;tranquilly;;;;;;
exultant;charm;;;;unagitated;;;;;;
exultantly;charmed;;;;unruffled;;;;;;
exulting;commendable;;;;;;;;;;
exultingly;delighted;;;;;;;;;;
fulfil;devoted;;;;;;;;;;
fulfill;emotive;;;;;;;;;;
gay;enamor;;;;;;;;;;
gayly;enamour;;;;;;;;;;
glad;enchant;;;;;;;;;;
gladden;enchanting;;;;;;;;;;
gladdened;endearingly;;;;;;;;;;
gladsome;enjoy;;;;;;;;;;
gleeful;enthralled;;;;;;;;;;
gleefully;enthralling;;;;;;;;;;
gloatingly;entrance;;;;;;;;;;
gratify;entranced;;;;;;;;;;
gratifying;entrancing;;;;;;;;;;
gratifyingly;fascinate;;;;;;;;;;
happily;fascinating;;;;;;;;;;
happy;favor;;;;;;;;;;
hearten;favorable;;;;;;;;;;
hilarious;favorably;;;;;;;;;;
hilariously;favour;;;;;;;;;;
inspire;favourable;;;;;;;;;;
intoxicate;favourably;;;;;;;;;;
jocund;fond;;;;;;;;;;
jolly;fondly;;;;;;;;;;
jolly_along;fraternal;;;;;;;;;;
jolly_up;friendly;;;;;;;;;;
jovial;giving_protection;;;;;;;;;;
joy;good;;;;;;;;;;
joyful;impress;;;;;;;;;;
joyfully;laudably;;;;;;;;;;
joyous;likable;;;;;;;;;;
joyously;like;;;;;;;;;;
jubilant;likeable;;;;;;;;;;
jubilantly;look_up_to;;;;;;;;;;
jubilate;love;;;;;;;;;;
jump_for_joy;lovesome;;;;;;;;;;
kid;loving;;;;;;;;;;
lift_up;lovingly;;;;;;;;;;
live_up_to;move;;;;;;;;;;
merrily;offering_protection;;;;;;;;;;
merry;praiseworthily;;;;;;;;;;
mirthful;protective;;;;;;;;;;
mirthfully;protectively;;;;;;;;;;
near;romantic;;;;;;;;;;
nigh;strike;;;;;;;;;;
pep_up;tender;;;;;;;;;;
pick_up;trance;;;;;;;;;;
pleased;warm;;;;;;;;;;
pleasing;warmhearted;;;;;;;;;;
preen;worshipful;;;;;;;;;;
pride;;;;;;;;;;;
prideful;;;;;;;;;;;
proudly;;;;;;;;;;;
recreate;;;;;;;;;;;
rejoice;;;;;;;;;;;
rejoicing;;;;;;;;;;;
revel;;;;;;;;;;;
riotously;;;;;;;;;;;
satiable;;;;;;;;;;;
satisfactorily;;;;;;;;;;;
satisfactory;;;;;;;;;;;
satisfiable;;;;;;;;;;;
satisfied;;;;;;;;;;;
satisfy;;;;;;;;;;;
satisfying;;;;;;;;;;;
satisfyingly;;;;;;;;;;;
screaming;;;;;;;;;;;
self-satisfied;;;;;;;;;;;
smug;;;;;;;;;;;
solace;;;;;;;;;;;
soothe;;;;;;;;;;;
stimulating;;;;;;;;;;;
teased;;;;;;;;;;;
thrill;;;;;;;;;;;
tickle;;;;;;;;;;;
titillate;;;;;;;;;;;
titillated;;;;;;;;;;;
titillating;;;;;;;;;;;
triumph;;;;;;;;;;;
triumphal;;;;;;;;;;;
triumphant;;;;;;;;;;;
triumphantly;;;;;;;;;;;
unworried;;;;;;;;;;;
uplift;;;;;;;;;;;
uproarious;;;;;;;;;;;
uproariously;;;;;;;;;;;
urge;;;;;;;;;;;
urge_on;;;;;;;;;;;
walk_on_air;;;;;;;;;;;
wallow;;;;;;;;;;;
with_happiness;;;;;;;;;;;
with_pride;;;;;;;;;;;
